name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
AllCloud Enterprise Solutions,,allcloud-enterprise-solutions,Exhibitor,Exhibitors,infra,https://www.allcloud.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e649fa45-b306-4d48-85df-02c6be4c0bf3-Allcloud.png,Empower your lending operations with AllCloud’s Digital Lending Software. Our Unified Lending Technology platform offers smarter workflows and faster onboarding to help you scale compliantly.,direct-meta-description,,https://www.allcloud.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending;KYC and onboarding;AML and compliance,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9b
Alohaa.ai,,alohaa-ai,Exhibitor,Exhibitors,ai,https://www.alohaa.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/515036f2-68f2-432c-8260-27b45cc36047-Alohaa.ai.png,"Alohaa helps you set up a customer support line, open a Whatsapp Business account, manage calls & call routing, and an industry-first SMS via API.",direct-meta-description,,https://www.alohaa.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,customer communication;cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9c
Alt Drx,,alt-drx,Exhibitor,Exhibitors,other,https://altdrx.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7f8748da-e90c-49f9-9bcc-c04cf3bc1f01-alt.DRX.png,"Build your wealth through digital real estate. Buy and sell properties 1 SQFT at a time starting from ₹10,000.",apify:apify/website-content-crawler,meta-description,https://altdrx.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9d
Amazon Pay,,amazon-pay,Brought To You By,Partners,payments,https://www.amazon.in/amazonpay/home?ref_=mweb_navm_apay,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bb099997-a0d9-4bd8-bb84-7bd236510f90-AmazonPaytrimmed.png,Digital payments arm of Amazon,curated-public-facts,,,earlier-in-this-session,,,online checkout;UPI payments,phrase-match:whatTheyDo,,,,,"Amazon's digital payments arm offering a wallet, UPI, bill payments and merchant checkout across online and offline commerce.",One-click checkout for e-commerce;UPI and wallet payments;Recurring bill and recharge payments;Merchant payment acceptance,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f35a
ArrowHead,,arrowhead,Bronze Partner,Partners,other,https://arrowhead.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0aa133da-10c3-4069-8c9e-30799a834474-Arrowhead.png,"Enterprise-grade, humanlike AI voice agent for India. Arrowhead automates sales & support calls with understanding of Indian tonality, nuances and Indic languages.",direct-meta-description,,https://arrowhead.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9e
Aska Technologies,,aska-technologies,Exhibitor,Exhibitors,infra,www.askatech.in,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ef9c8da7-248a-4930-83e4-854d532193e2-aska-technologies-website-logo.png,Aska Technologies delivers next-gen AI-driven platforms and analytics for government and enterprises. We modernize infrastructure and services across sectors.,direct-meta-description,,www.askatech.in,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,analytics and reporting;AI and automation;cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9c9f
Association of Mutual Funds in India,,association-of-mutual-funds-in-india,Exhibitor,Exhibitors,wealthtech,https://www.amfiindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6309a5f5-969e-42b1-9bb9-c005b86353e4-association-of-mutual-funds-in-india-website-logo.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca0
Automation Edge,,automation-edge,Exhibitor,Exhibitors,other,https://automationedge.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e5f3ea96-1289-4bdf-9846-d82f1e15d77a-automation-edge-website-logo.png,"The Agentic AI and automation platform that unifies RPA, Document AI, workflow automation and orchestration in one platform to streamline operations and drive business growth.",direct-meta-description,,https://automationedge.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca1
AVSS EFORRM INDIA PVT LTD,,avss-eforrm-india-pvt-ltd,Exhibitor,Exhibitors,other,https://avsstech.com/company,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7415fd5a-4b2e-401f-bdb6-ab1118891dca-AVSSE.png,"Avsstech is a best website design and development company in India, offering digital marketing, mobile app development, and software development services.",direct-meta-description,,https://avsstech.com/company,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca2
Bajaj Capital,,bajaj-capital,Exhibitor,Exhibitors,lending,https://www.bajajcapital.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/28f712cc-5db8-40e1-b17c-d139db3d8916-bajaj-capital-website-logo.png,Start your Wealth Creation Journey with BajajCapital,apify:apify/website-content-crawler,homepage-body-text,https://www.bajajcapital.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca3
Bank of Baroda,,bank-of-baroda,Brought To You By,Partners,banking,https://www.bankofbaroda.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/96ba2391-cdf7-47b9-9bfd-2161c2822224-BankOfBaroda.png,Indian public sector bank,curated-public-facts,,,earlier-in-this-session,,,retail banking;digital lending;payments,phrase-match:whatTheyDo,,,,,"Indian public sector bank with a large domestic and international footprint across retail, MSME and corporate banking.",Cross-border remittances via international branches;Retail and home loans;MSME working capital finance;Digital-first banking through its bob World app,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f359
Bank of India,,bank-of-india,Gold Partner,Partners,banking,https://bankofindia.bank.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/44b15de0-b4df-468a-aef9-57754030545d-BankofIndia.png,,unsourced,,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Indian public sector bank offering retail, corporate, MSME and NRI banking with a domestic and overseas branch network.",Retail and MSME lending;NRI banking and remittances;Corporate credit and trade finance;Digital banking and UPI,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",low,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f386
BASIC home loan,,basic-home-loan,Exhibitor,Exhibitors,lending,https://www.basichomeloan.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b6826885-63bf-4fca-8193-f316dedb7bd7-basic-home-loan-website-logo.png,"Compare and apply online for best interest rates on home loan, loan against property, balance transfer. Calculate your EMI instantly.",direct-meta-description,,https://www.basichomeloan.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca4
BCG,,bcg,Supporter,Supporters,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/066e243d-62b4-40c3-8f73-261112610a9f-bcg9141f06e41.png,"Boston Consulting Group, a global management consulting firm.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",,,,,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca5
Benepik,,benepik,Exhibitor,Exhibitors,other,https://benepik.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7cbcae8d-9ff6-40c3-adc3-aa8f87e5d16d-benepik-website-logo.png,"Benepik offers rewards & loyalty platform for employee engagement, corporate gifting, and recognition solutions for businesses.",direct-meta-description,,https://benepik.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca6
BharatPe,,bharatpe,Diamond Partner,Partners,payments,https://bharatpe.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/28f257e9-8a3e-4470-b9e6-8d0dbed5ff5d-BharatPe.png,Merchant payments and lending platform,curated-public-facts,,,earlier-in-this-session,,,UPI QR acceptance;merchant lending,phrase-match:whatTheyDo,,,,,"Merchant-focused fintech offering interoperable QR payment acceptance, POS devices and merchant lending to small businesses.",QR-based merchant payment acceptance;Merchant cash advance and business loans;POS card acceptance for small retailers;Merchant settlement and bookkeeping,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f369
Blostem,,blostem,Exhibitor,Exhibitors,other,https://www.blostem.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/cd1abf64-8162-498a-bdcb-37b7aca37baa-blostem-website-logo.png,"Launch banking products in days. Single API for FD, RD, Loans & Bonds across 10+ banks. Backed by Zerodha's Rainmatter.",direct-meta-description,,https://www.blostem.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending;cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca7
Blue Machines AI,,blue-machines-ai,Silver Partner,Partners,ai,https://bluemachines.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/0514b62d-176a-4a85-a1e1-d0dc330e2c69-bluemachinesai.png,"Blue Machines is the world's fastest enterprise-grade Voice AI platform - built for reliability, compliance, and scale in the era of Agentic AI.",direct-meta-description,,https://bluemachines.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AML and compliance;AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca8
BNPRS,,bnprs,Exhibitor,Exhibitors,other,https://www.bnprs.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ad0ea88d-1b48-41aa-adbc-2046e9ccb328-bnprs-website-logo.png,"Innovating the future with biometrics and payment technologies. BNPRS offers cutting-edge solutions including mGate, mPOS, Pass, BfzCore, and more.",direct-meta-description,,https://www.bnprs.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9ca9
Bolna,,bolna,Silver Partner,Partners,other,https://bolna.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/9fecd52d-22c5-4648-95f6-850fd9dd6e9b-Bolna.png,"Scale customer support, sales, recruitment with Bolna Voice Agents. Inbound and outbound calls in vernacular Indian languages like English, Hindi, Hinglish.",apify:apify/website-content-crawler,meta-description,https://bolna.ai/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9caa
Borderless,,borderless,Bronze Partner,Partners,other,http://borderless.world/insights,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6da2db7c-e49d-437c-b81a-86264aad299c-borderless.png,"Explore expert insights, guides, and updates on global finance, multicurrency accounts, payments, and cross-border money management",direct-meta-description,,http://borderless.world/insights,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,cross-border payments;analytics and reporting,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cab
Brandworks Technologies Pvt Ltd,,brandworks-technologies-pvt-ltd,Bronze Partner,Partners,infra,https://www.bwtech.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ea774cd0-73d6-46ef-8dc2-392459bc7edc-Brandworks.png,Brandworks Technologies Pvt Ltd the best Original Equipment Manufacturer in India. OEM Innovating and delivering quality industrial solutions,direct-meta-description,,https://www.bwtech.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cac
BSE Limited.,,bse-limited,Exhibitor,Exhibitors,wealthtech,https://www.bseindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/702bdc25-6584-4fd1-857e-7621781af88f-bse-limited.-website-logo.png,Indian stock exchange,curated-public-facts,,,earlier-in-this-session,,,equity trading;listing;market data,phrase-match:whatTheyDo,curated-public-facts,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9cad
Bureau ID,,bureau-id,Platinum Partner,Partners,regtech,https://bureau.id/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/7f0dc273-fdd0-443f-8e7e-462fc769cbc3-Bureau.png,"Bureau stops fraud in real time using device, identity, and behavioral signals. Trusted by 200+ global brands across fintech and e-commerce.",apify:apify/website-content-crawler,meta-description,https://bureau.id/,2026-08-12T13:30:52Z,,,identity verification;fraud prevention,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Identity decisioning platform combining KYC, device intelligence and behavioural signals to verify users and stop fraud.",Digital identity verification at onboarding;Device and behavioural fraud detection;Alternative data risk scoring for thin-file users;Account takeover prevention,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f36f
