agendaCode,title,day,startTime,endTime,hall,format,track,topics,accessType,isClosedDoor,description,speakerNames,speakersWithTitles,hostNames,hostsWithTitles,status,withdrawnDetectedAt,sourceUrl,lastSeenAt,documentId,year,recordId
A1209,How to innovate with NBBL,2026-09-09,11:00,11:40,Cube,Masterclass,,,public,false,"TSPs are the connective tissue of the NBBL ecosystem, with new use cases across lending, collections, and enterprise payments emerging, there is a critical need to co-innovate than build in silos. This session drives ecosystem stickiness, surfaces new revenue models for TSPs, and signals NBBL's openness as a platform, attracting the next gen of fintech .",Tanya Naik,"Tanya Naik, CBO Online and Omnichannel Business , Pine Labs",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,c38f4987-e98b-47a3-9ff0-0a225c9365b3,2026,6a7c768116afc6a8747c99a1
A1291,"Central Banking in the Digital Age: Balancing Innovation, Inclusion and Financial Stability",2026-09-09,11:00,11:30,The Grand Theatre,Keynote Address,"Central Banking, Digital Finance, Financial Stability",Central Banking;Digital Finance;Financial Stability,public,false,"As digital payments, AI and new financial technologies reshape the financial system, central banks face the challenge of enabling innovation while safeguarding trust, stability and inclusion. This session will examine how central banks can foster responsible digital transformation, expand access to financial services, strengthen payment infrastructure and address emerging risks around cybersecurity, fraud, data and operational resilience. It will also explore the evolving role of regulatory cooperation and cross-border connectivity in building a financial system that is innovative, inclusive and resilient.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,2fb6a596-4b95-4291-b60b-8216d0d150ca,2026,6a7c768116afc6a8747c99aa
A0776,"Future-Ready Exchanges: Scaling for Speed, Resilience, and Global Integration",2026-09-09,11:10,11:50,Lotus 1,Panel Discussion,"Market Infrastructure, Exchanges, Settlement",Market Infrastructure;Exchanges;Settlement,public,false,"As India’s capital markets grow deeper, more digital and increasingly interconnected with global markets, exchanges and clearing corporations must evolve for a new era of scale, speed and resilience. This session will examine how market infrastructure can support real-time settlement, rising retail participation, higher transaction volumes and greater cross-border investor access while maintaining trust, stability and investor protection. The discussion will also explore the role of technology, risk management, interoperability and regulatory alignment in building future-ready exchanges for India’s next phase of market growth.",Sundararaman Ramamurthy;Praveena Rai;Latika S Kundu,"Sundararaman Ramamurthy, MD & CEO, BSE Ltd;Praveena Rai, MD & CEO, MCX;Latika S Kundu, Managing Director & CEO, Metropolitan Stock Exchange of India Ltd.",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,6dcb3764-97a5-4cab-bd75-2caa02b39e29,2026,6a7c768116afc6a8747c99a8
A0954,Digital Identity & Beyond,2026-09-09,11:40,12:20,The Grand Theatre,Panel Discussion,"Digital Identity, Digital Public Infrastructure, Trust & Authentication",Digital Identity;Digital Public Infrastructure;Trust & Authentication,public,false,"Digital identity has become the foundation of India’s digital economy, enabling trusted access to financial services at population scale. As the ecosystem evolves, the next frontier lies in moving beyond identity verification to consent-based data sharing, reusable digital credentials, AI-enabled authentication, and seamless cross-sector interoperability. This session will explore how digital identity can power the next generation of financial innovation while strengthening privacy, security, inclusion, and trust. The discussion will also examine global opportunities for interoperable identity frameworks and the role of Digital Public Infrastructure in shaping the future of digital finance.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,d832ecac-0490-4444-b10d-f8d9a2ee0214,2026,6a7c768116afc6a8747c99ac
A0039,GIFT City – Gateway to Cross-Border Finance and Technology,2026-09-09,11:45,12:25,Hall 206 A&B,Panel Discussion,"Cross-Border Finance, Global Fintech",Cross-Border Finance;Global Fintech,public,false,"This panel discussion will explore the growing role of GIFT City as a global hub for cross-border finance, financial services and emerging technologies. The conversation will examine opportunities for international capital flows, fintech innovation and technology-led financial services, while highlighting how GIFT City can strengthen India’s position in the global financial ecosystem.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,7e603af8-4f2f-4df1-9e08-16da65c19bf4,2026,6a7c768116afc6a8747c99b1
A0349,MuleHunter Workshop,2026-09-09,11:45,12:25,Hall 103,Workshop,,,public,false,,Devraj Sanyal;Mujiruddin Shaikh,"Devraj Sanyal, Chief of AI, and Data Science Officer, Reserve Bank Innovation Hub (RBIH);Mujiruddin Shaikh, Chief Technology Officer, Reserve Bank Innovation Hub (RBIH)",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,50d8eab7-755d-4402-aed9-1bccd5bdfbc6,2026,6a7c768116afc6a8747c99ae
A0457,The Quantum Shift: Redefining the Future of Money Movement and Financial Innovation,2026-09-09,11:45,12:25,Lotus 3,Panel Discussion,,,public,false,"Quantum technologies are set to fundamentally reshape how value is created, transferred, and settled across financial systems. This conversation explores how quantum could unlock new models in payments, liquidity, and transactions, beyond just security considerations. What does a truly quantum-enabled financial ecosystem look like?",Adelia Castelino;Sumit Nigam;Paul Stamas,"Adelia Castelino, Co-Founder and Managing Director, In-Solutions Global;Sumit Nigam, Chief Technology Officer, Perfios Software Solutions;Paul Stamas, Managing Director, Global Head of Financial Services, General Atlantic",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,1788b709-a80f-45ec-a82e-f4af62d2161d,2026,6a7c768116afc6a8747c99b3
A0710,"Seamless Urban Movement: Integrating Payments, Platforms & Infrastructure",2026-09-09,11:45,12:25,Hall 202,Panel Discussion,,,public,false,"This panel explores how AI is transforming next-generation tolling and transit systems at the intersection of fintech and smart infrastructure. It highlights innovations enabling seamless, cashless mobility while improving efficiency and accessibility. The discussion focuses on enhancing user experience, financial inclusion, and building equitable, future-ready transit ecosystems.",Amit Kumar Jain;Amit Lakhotia;Srikant Kurup,"Amit Kumar Jain, Director (Operations & Services), Delhi Metro Rail Corporation;Amit Lakhotia, Chief Executive Officer, Park Plus;Srikant Kurup, Head - Business Toll & Transit Payments, IDFC FIRST Bank",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,c362d80a-77ee-4d28-be18-81413f7406a1,2026,6a7c768116afc6a8747c99af
A0908,Engineering Enterprise Retrieval-Augmented Generation Systems: Deploying AI in Financial Services,2026-09-09,11:45,12:25,Hall 203,Panel Discussion,"Retrieval-Augmented Generation, Enterprise AI, AI Governance",Retrieval-Augmented Generation;Enterprise AI;AI Governance,public,false,"Retrieval-augmented generation is becoming a core architecture for deploying AI in financial services, especially where accuracy, source traceability and regulatory context are critical. This technical session will explore how enterprises can build reliable retrieval systems over financial, compliance and policy data. The discussion will examine data ingestion, chunking strategies, vector search, access controls, evaluation methods, hallucination reduction, auditability and governance models required to make RAG systems production-ready in regulated environments.",Manish Sinha,"Manish Sinha, Co-founder, Credilio Financial Technologies",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,f8927724-1148-4574-bcfd-6e0fd5d9acdf,2026,6a7c768116afc6a8747c99b0
A0998,Inclusion at Scale: Building Trust First Financial Platforms for the Masses,2026-09-09,11:45,12:35,The Studio,Keynote & Panel Discussion,"Financial Inclusion, Trusted Finance, Inclusive Platforms",Financial Inclusion;Trusted Finance;Inclusive Platforms,public,false,"True inclusion goes beyond access. This panel discusses inclusive product design, affordability, trust, and scalable business models that expand financial participation across diverse consumer segments.",Nishchay Ag,"Nishchay Ag, CEO & Co-Founder , Changejar Technologies",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,cde13fa1-4ae3-4311-8176-6df674c29690,2026,6a7c768116afc6a8747c99b4
A1088,Building Programmable Payment Infrastructure: From APIs to Intelligent Orchestration,2026-09-09,11:45,12:25,Cube,Masterclass,"Payment Orchestration, API Economy, Programmable Payments",Payment Orchestration;API Economy;Programmable Payments,public,false,"A deep dive into how modern payment systems are built using APIs, orchestration layers, and real-time decisioning frameworks. The session will unpack how enterprises can design resilient, scalable, and flexible payment stacks—enabling seamless checkout experiences, optimized routing, and higher conversion rates. Attendees will gain practical insights into building infrastructure that powers high-volume transactions, supports multiple payment methods, and adapts dynamically to business and regulatory needs.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,8afd19d0-c861-408d-b1e0-e2d68659d5a6,2026,6a7c768116afc6a8747c99ad
A0997,Reimagining Merchant Payments: From Acceptance to Intelligent Commerce Infrastructure,2026-09-09,11:50,12:30,Hall 205 A&B,Panel Discussion,,,public,false,"Merchant payments are rapidly evolving beyond traditional acquiring into a unified layer of commerce infrastructure. This session will explore how payment providers are enabling seamless, scalable, and data-driven merchant ecosystems—integrating acceptance, credit, and value-added services. As digital transactions scale across channels, the focus shifts to building intelligent, interoperable systems that support real-time decisioning, embedded finance, and global expansion for merchants of all sizes.",Amirali Zubin Valliani;Anuj Khosla;Gary Yang,"Amirali Zubin Valliani, Vice President, Interenational Growth Markets, PayPal, Pte;Anuj Khosla, Chief Executive Officer , Hitachi Payments;Gary Yang, APAC President , Adyen",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,71e49a70-7404-4171-8ed6-1d2a1a04fe2f,2026,6a7c768116afc6a8747c99b5
A1120,The Intelligent Financial System: How AI Will Redefine Banking,2026-09-09,11:50,12:20,Jasmine 3,Fireside Chat,,,public,false,,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,f84ae172-1a6c-4f30-9f5b-50184db05376,2026,6a7c768116afc6a8747c99b6
A0787,Quantum Threats & Market Infrastructure: Preparing for the Next Era of Cyber Risk,2026-09-09,11:55,12:35,Lotus 1,Panel Discussion,"Quantum Computing, Market Resilience, Cyber security",Quantum Computing;Market Resilience;Cyber security,public,false,"A forward-looking session on quantum computing’s impact on encryption, trading systems, and financial security.",Nilesh Dhande,"Nilesh Dhande, Co-founder and CEO, Fortytwo42 Technology Innovations Private Limited",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,bd41f2d2-c3e3-4f62-9f3e-f251cf7deac3,2026,6a7c768116afc6a8747c99b2
A0144,Fintech 2035: Building the Next Generation of India's Digital Financial Infrastructure,2026-09-09,12:10,13:10,Hall 104 A&B,Closed Room Session,,,invite-only,true,"A strategic discussion between NITI Aayog and fintech leaders on emerging opportunities and policy priorities to accelerate innovation, financial inclusion, productivity, and global competitiveness.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,edddf437-4af8-404f-b0d7-b4e1c881e9c7,2026,6a7c768116afc6a8747c99b7
A1027,Commercial Lending Reimagined - How AI is Powering Commercial & Retail Lending,2026-09-09,12:20,13:00,Lotus 2,Panel Discussion,"AI Lending, Commercial Credit, Credit Intelligence",AI Lending;Commercial Credit;Credit Intelligence,public,false,"As economic fragmentation and systemic risk reshape lenders' priorities in India, commercial and retail lending stands at an inflection point — caught between the need for rapid credit decisioning and the imperative of stronger risk governance. This panel explores how AI-first platforms are translating innovation into real-world lending outcomes. Unpacking the structural challenges banks face across credit decisioning, collateral management, and portfolio monitoring. The panelist will share their own transformation journey, offering a practitioner's view of what it takes to modernize lending infrastructure at one of India's largest banks. Together, the panel will surface a practical roadmap for banks looking to move beyond pilots and meaningfully embed AI into the commercial and retail-lending lifecycle.",Brajesh Khandelwal,"Brajesh Khandelwal, EVP & Business Head Lending, Intellect Design Arena",Manish Kumar Gupta,"Manish Kumar Gupta, Chief Executive of Urban Unsecured Assets, Payments, and Digital Partnerships, L&T Finance",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,8105af81-6642-4fa2-b880-7ef1f16566fe,2026,6a7c768116afc6a8747c99b8
A0015,Tokenisation of Financial Assets,2026-09-09,12:25,12:55,Jasmine 3,Keynote & Fireside Chat,"Digital Lending, Account Aggregator, Financial Inclusion",Digital Lending;Account Aggregator;Financial Inclusion,public,false,,,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,0cb9ab68-f376-40df-8878-d0dc0b588a7b,2026,6a7c768116afc6a8747c99b9
A0019,"Exporting India's Digital Future: Fintech, AI and the Rise of Digital Services",2026-09-09,12:30,13:00,The Grand Theatre,Keynote Address,"Digital Policy, Economic Innovation, Regulatory Frameworks",Digital Policy;Economic Innovation;Regulatory Frameworks,public,false,,Rajesh Agrawal,"Rajesh Agrawal, Commerce Secretary, Ministry of Commerce & Industry, Government of India",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,1e1fc567-59dc-40f8-9d2c-c95ca423b395,2026,6a7c768116afc6a8747c99c0
A0656,Securing Global Payments: Preparing for the Quantum Era,2026-09-09,12:30,13:05,Hall 204 A&B,Panel Discussion,,,public,false,Understanding the threat quantum computing poses to current financial cryptography. Steps developing nations must take today to future-proof their payment infrastructure.,Dmytro Kolechko;Esam Alkheshnam;Pietro Tiberi,"Dmytro Kolechko, Chief Executive Officer, Wing Bank (Cambodia) Plc.;Esam Alkheshnam, Chief Executive Officer, KNET;Pietro Tiberi, IT Operations Manager, Banca d'Italia",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,7b4aab1d-ffdd-4889-a513-20a1e65c2b4e,2026,6a7c768116afc6a8747c99bd
A0898,AI Architecture for Regulated Industries,2026-09-09,12:30,13:10,Hall 103,Panel Discussion,"AI Architecture, Regulated Industries, AI Governance",AI Architecture;Regulated Industries;AI Governance,public,false,"As AI adoption accelerates across banks, insurers and regulated entities, institutions need robust architectures that balance innovation with security, compliance and operational resilience. This technical session will explore reference architectures for deploying AI in regulated environments, covering data governance, model controls, explainability, audit trails, human oversight, cybersecurity and integration with enterprise systems. The discussion will focus on how regulated entities can move from experimentation to production-grade AI while maintaining trust, accountability and regulatory readiness.",Krishna Prasad Atluri,"Krishna Prasad Atluri, Founder CEO, OneMoney",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,8ecc3aea-2079-4c88-af23-36a34b7e94db,2026,6a7c768116afc6a8747c99bb
A1000,AI-Driven Credit Scoring for Underserved MSMEs,2026-09-09,12:30,13:10,Lotus 3,Panel Discussion,,,public,false,"This session explores how AI is transforming credit assessment for underserved MSMEs by leveraging alternative data and advanced analytics. It highlights the ability to move beyond traditional credit histories to create more inclusive and accurate risk models. Industry leaders will discuss challenges around data quality, bias, and regulatory compliance while unlocking access to finance. The conversation focuses on enabling faster, fairer lending and driving financial inclusion at scale.",Ashish Shah;Frederick Dsouza;Ravi Pangal,"Ashish Shah, Deputy Managing Director, BOBCARD;Frederick Dsouza, President & Business Head Credit Cards, Kotak Mahindra Bank;Ravi Pangal, Chief Information Officer, IndusInd Bank",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,65fff028-b86a-47d4-8f37-4253c630503a,2026,6a7c768116afc6a8747c99bf
A1012,Quantum Risk in BFSI: Securing Cryptography for a Post‑Quantum World,2026-09-09,12:30,13:10,Hall 202,Panel Discussion,,,public,false,"Quantum computing poses a silent but existential threat to today’s financial cryptography, with the potential to break encryption securing payments, tokenized assets, and AI models. This panel examines how information security teams can prepare for post‑quantum threats through cryptographic agility, migration strategies, and resilient architectures—before quantum capabilities render current protections obsolete.",G Sivakumar,"G Sivakumar, Porfessor, IIT Bombay",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,2a5c6a11-d713-4af8-9730-831fdde21c56,2026,6a7c768116afc6a8747c99bc
A1089,Tag: AI,2026-09-09,12:30,13:10,Cube,Masterclass,"Artificial Intelligence, AI Transformation, Enterprise AI",Artificial Intelligence;AI Transformation;Enterprise AI,public,false,"Artificial Intelligence is rapidly becoming the defining technology of the next generation of financial services. This masterclass will explore how organizations can move beyond AI experimentation to enterprise-wide transformation by embedding AI across products, operations, customer engagement, and decision-making. Participants will gain strategic insights into building AI-first organizations, scaling AI responsibly, and unlocking measurable business value while ensuring governance, trust, and long-term competitiveness.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,1e467429-429c-4ba9-a190-409394970659,2026,6a7c768116afc6a8747c99ba
A0784,"Reimagining Asset Management: Redefining Distribution, Advisory, and Trust through AI in a Hybrid World",2026-09-09,12:40,13:20,Lotus 1,Panel Discussion,"Global Investors, Regulation, Market Access",Global Investors;Regulation;Market Access,public,false,"Use of AI in fund management, risk analytics, distribution and personalized investor journeys with regulatory implications. Further, as platforms blur lines between advice and distribution, what regulatory clarity is needed and how to balance commission structures, which align with investor protection and transparency.",Anshu Kapoor;Vasanth Kamath,"Anshu Kapoor, CEO&MD, Nuvama Asset Management;Vasanth Kamath, Founder & CEO, smallcase",Manoj Kumar,"Manoj Kumar, Executive Director, Securities and Exchange Board of India",active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,6ebc9596-f14a-4a12-8e64-93132161c65f,2026,6a7c768116afc6a8747c99e0
A0922,Deepfake & Synthetic Identity Fraud: The New Frontier for BFSI,2026-09-09,12:40,13:20,The Studio,Panel Discussion,"Deepfake Fraud, Synthetic Identity, Identity Security",Deepfake Fraud;Synthetic Identity;Identity Security,public,false,"Deepfake KYC submissions, voice spoofing, and synthetic identities are testing the limits of traditional verification systems. This session examines how multimodal AI and risk-aware authentication are evolving to counter increasingly sophisticated identity attacks in financial services.",Milan Janardan Naik;Vinay Tiwari,"Milan Janardan Naik, Founder, BOXX Insurance;Vinay Tiwari, CISO, Axis Bank",,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,7dc66598-2ab1-4f45-b580-36a59953e4a0,2026,6a7c768116afc6a8747c99c2
A1038,Beyond the Cycle: Japan's Long-Term Bet on India's Innovation Economy from MUFG Bank,2026-09-09,12:40,13:20,Hall 205 A&B,Panel Discussion,"Strategic Partnership, Financial Innovation, India–Japan",Strategic Partnership;Financial Innovation;India–Japan,public,false,"This panel explores Japan’s long-term commitment to India’s innovation economy, and how that commitment is evolving into an end-to-end model spanning venture investing, growth financing, market access, and public market readiness. Bringing together leaders from banking, venture capital, capital markets, and the broader innovation ecosystem, the discussion will examine why India has become a strategic priority for Japanese institutions and how cross-border capital can help founders scale through multiple stages of the company-building journey.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,c4000096-e807-4d63-9a40-7f9d5a65aea2,2026,6a7c768116afc6a8747c99c1
A0204,"Building the Next Generation of India's Financial System: Innovation, Inclusion and Trust",2026-09-09,13:00,13:30,Jasmine 3,Keynote & Fireside Chat,"Financial Innovation, Digital Public Infrastructure, Trusted Finance",Financial Innovation;Digital Public Infrastructure;Trusted Finance,public,false,"India is building one of the world's most advanced and inclusive financial ecosystems through Digital Public Infrastructure, progressive regulation, and technology-led innovation. This keynote and fireside chat will explore how the next generation of financial services will be shaped by AI, resilient banking, cybersecurity, digital payments, and inclusive access to credit. The discussion will highlight the policy priorities, collaborative partnerships, and trusted innovation needed to accelerate India's journey towards a secure, intelligent, and globally competitive financial system.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,0a5945ed-8205-4736-a94f-da4f2cad20a8,2026,6a7c768116afc6a8747c99c3
A1134,Democratizing Access to Credit for Small and Medium Businesses,2026-09-09,13:05,13:15,Lotus 2,Product Launch,"MSME Credit, Credit Access, Business Growth",MSME Credit;Credit Access;Business Growth,public,false,"Amazon Pay India is launching a dedicated credit instrument for sole proprietor businesses with a leading bank. This would be B2B credit product specifically built for this segment. The product will address a critical gap in access to capital for India's small businesses and sole proprietors, who do not have an existing dedicated credit solution. It is designed to help India's 1.5M+ MSMEs reinvest rewards back into their business growth.” Request you to confirm if a panel slot can be allocated for this topic at GFF.",,,,,active,,https://www.globalfintechfest.com/agenda,2026-08-12T13:58:49Z,51506636-de0c-466a-b53c-51931ef66a9e,2026,6a7c768116afc6a8747c99c4
